content,category
 cup gin,2
 cup ginger beer,2
" cup ginger, grated",2
" cup ginger, peeled and roughly chopped",2
 cup granulated sugar,2
 cup grape,2
" cup grapefruit juice, freshly squeezed",2
 cup half and half,2
 cup hazelnut,2
 cup heavy cream,2
" cup heavy cream, well chilled",2
 cup honey,2
 cup ice cube,2
 cup kosher salt,2
" cup kosher salt, divided",2
 cup lemon juice,2
" cup lemon juice, fresh",2
" cup lemon juice, freshly squeezed",2
 cup lillet rose,2
 cup lime juice,2
 cup lime juice (optional),2
" cup lime juice, freshly squeezed",2
 cup maple syrup,2
 cup mezcal,2
 cup milk,2
 cup mint,2
" cup mixed berries, frozen",2
" cup orange juice, fresh",2
" cup orange juice, freshly squeezed",2
" cup peach, frozen",2
 cup pear liqueur,2
" cup pineapple, cut into chunks",2
" cup pink grapefruit, fresh",2
 cup prepared horseradish,2
 cup pumpkin puree,2
 cup punt e mes,2
 cup raspberry,2
 cup raw turbinado sugar,2
 cup red wine,2
 cup red wine (optional),2
 cup rice,2
 cup rosemary gin simple syrup,2
 cup rosemary gin simple syrup (optional),2
 cup rum,2
 cup scotch,2
" cup seedless watermelon, cubed",2
 cup seltzer,2
" cup seltzer, chilled",2
" cup semisweet chocolate chip, chopped",2
 cup simple syrup,2
 cup small ice cube,2
 cup sparkling wine,2
 cup sugar,2
" cup tangerine juice, fresh squeezed",2
 cup tequila,2
" cup tonic water, chilled",2
 cup triple sec,2
 cup turbinado sugar,2
 cup unsweetened cocoa powder,2
 cup unsweetened cranberry juice,2
 cup vanilla ice cream,2
 cup vodka,2
 cup water,2
" cup water, boiling",2
" cup water, cold",2
" cup water, heated",2
 cup whole milk,2
" cup whole milk, warmed to about ° F by microwaving for  seconds",2
" cup whole milk, warmed to about ° F by microwaving for  seconds (optional)",2
 cup yellow chartreuse,2
" cups (  ounces; g) dried field peas (cowpeas), preferably not black-eyed peas, rinsed, picked over for debris, and soaked overnight (see note)",2
 cups ( ml) heavy cream,2
 cups ( ounces; g) uncooked parboiled long-grain white rice,2
 cups (ml) heavy cream,2
 cups (ml) whole milk,2
 cups all-purpose flour,2
 cups all-purpose flour (optional),2
 dash absinthe,2
 dash angostura bitters,2
 dash bitters,2
 dash brandy,2
 dash burlesque bitters,2
 dash cayenne pepper,2
 dash celery bitters,2
 dash chocolate bitters,2
 dash citrus bitters,2
 dash cointreau,2
 dash curacao,2
 dash fernet branca,2
 dash fino sherry,2
 dash grand marnier,2
 dash grapefruit bitters,2
 dash green chartreuse,2
 dash grenadine,2
 dash lemon bitters,2
 dash lemon juice,2
" dash lemon juice, fresh",2
 dash maraschino liqueur,2
 dash mole bitters,2
 dash orange,2
 dash orange bitters,2
 dash peychauds bitters,2
 dash pomegranate,2
 dash pomegranate (optional),2
 dash pomegranate bitters,2
 dash rose water,2
 dash simple syrup,2
 dash vanilla extract,2
 drop  percent saline,2
 drop orange bitters,2
 drop orange blossom water,2
 drop pernod,2
 drop water,2
 earl grey tea bag,2
 egg white,2
" egg white, fresh",2
 egg yolk,2
 floz chilled orange juice,2
 floz chilled peach juice,2
 floz chilled prosecco,2
 floz orange juice,2
 floz peach schnapps,2
 floz vodka,2
 fluid ounces ( cups) half-and-half,2
 fluid ounces heavy cream,2
 fresh pear,2
 ft cheesecloth,2
 ginger ale,2
 grapefruit twist,2
 green olive,2
 head cauliflower,2
 ice cube,2
" ice cube, cracked",2
 in cinnamon stick,2
" in fresh pasta, fresh",2
 in ginger,2
" in ginger, peeled",2
" in medium pineapple, peeled, cored, and cubed",2
 in orange,2
 in orange zest,2
 in pineapple,2
" jalapeno, sliced",2
" jalapeno, with seeds",2
" kiwi, peeled",2
 kosher salt,2
 large egg,2
 large egg white,2
 large egg yolk,2
 large egg yolks,2
 large egg yolks (g),2
 large eggs,2
 large ice cube,2
 large lime,2
 large mint,2
 large orange twist,2
" large peach, thinly sliced",2
" large sweet potatoes, peeled and cubed",2
" large yellow onion, thinly sliced",2
" lb bread, fresh",2
" lb cucumber, peeled",2
" lb ginger, fresh",2
 lb ice cube,2
" lb lemon, room temperature",2
" lb strawberry, trimmed",2
 lb tomato,2
 leaf basil,2
" leaf basil, fresh",2
 leaf cilantro,2
 leaf fresh mint,2
 leaf fresh sage,2
 leaf lime,2
 leaf mint,2
" leaf mint, fresh",2
 leaf pineapple,2
 leaf sage,2
" leaf sage, fresh",2
" leaf tarragon, fresh",2
" leek, white and light green parts only, cleaned and sliced into thin rings",2
 lemon twist,2
" lemon twist, optional",2
 lemon zest,2
" lemon zest, freshly grated",2
" lemon, cut into rounds",2
" lemon, cut into wheels",2
" lemon, halved",2
" lemon, thinly sliced",2
" lemon, zested",2
 light beer,2
" lime wedge, plus  lime wheels for garnish",2
 lime zest,2
" lime, quartered",2
 maraschino cherry,2
" maraschino cherry, optional",2
" medium (-ounce; g) yellow onion, peeled, quartered, and root end trimmed",2
" medium beet, grated",2
" medium cloves garlic, minced",2
" medium cucumber, sliced into "" rounds",2
" medium grapefruit, zested",2
" medium lemon, cut into "" wheels",2
" medium lemon, juiced",2
" medium lemon, zested",2
 medium lime,2
" medium navel orange, cut into wheels",2
 medium orange,2
" medium pineapple, cut into "" cubes",2
" minneola orange, finely zested",2
 nectarine,2
 NO Cartridges,2
 nutmeg,2
" nutmeg, freshly grated",2
 orange twist,2
" orange twist, optional",2
" orange, quartered",2
" orange, sliced",2
" orange, zested",2
" ounces ( grams) white chocolate chips, or chopped white chocolate from a bar",2
" ounces (g) all-purpose flour, sifted",2
" ounces (g) finely grated Gruyère cheese, plus more for sprinkling",2
 ounces (g) finely grated Gruyère or Comté cheese,2
 ounces (g) finely grated Parmigiano-Reggiano cheese,2
 ounces (g) pullman or brioche bread (about one-third to one-half of a loaf),2
 ounces (ml) Cointreau,2
 ounces (ml) fresh juice from  limes,2
 ounces (ml) high-quality blanco tequila (see note),2
 ounces grated Parmesan,2
 oz  rum,2
 oz absinthe,2
 oz agave,2
 oz agave nectar,2
 oz aged rum,2
 oz ale,2
 oz allspice,2
 oz allspice bitters,2
 oz amaretto,2
 oz amaro,2
 oz amaro nonino,2
 oz amaro sfumato,2
 oz amber rum,2
 oz amer picon,2
 oz angostura bitters,2
 oz aperol,2
 oz apple brandy,2
 oz apple cider,2
" oz apple cider, chilled",2
" oz apple cider, chilled (optional)",2
" oz apple cider, fresh",2
 oz apple simple syrup,2
 oz applejack,2
 oz apricot,2
 oz apricot brandy,2
 oz apricot liqueur,2
 oz aquavit,2
 oz averna,2
 oz bacon flavored whiskey,2
 oz barolo chinato,2
 oz basil simple syrup,2
 oz becherovka,2
 oz beet juice,2
 oz beet juice (optional),2
 oz benedictine,2
 oz benedictine (optional),2
" oz black coffee, hot",2
" oz black peppercorn simple syrup, chilled",2
 oz blanco tequila,2
 oz blood orange juice,2
" oz blood orange juice, fresh",2
 oz bonal,2
 oz bornholmer bitter,2
 oz bourbon,2
 oz brandy,2
 oz brewed chamomile tea,2
 oz brut sparkling wine,2
 oz cachaca,2
 oz cachaca (optional),2
 oz calvados,2
 oz calvados (optional),2
 oz campari,2
 oz caperitif,2
 oz cardamom pod,2
 oz cardamom simple syrup,2
 oz cardamom-infused bourbon,2
 oz carrot juice,2
 oz cava,2
" oz cava, chilled",2
 oz celery juice,2
" oz celery juice, fresh",2
" oz celery, sliced",2
 oz champagne,2
 oz champagne acid,2
" oz champagne, approximately",2
" oz champagne, chilled",2
 oz cherry heering,2
 oz cherry juice,2
 oz cherry simple syrup,2
 oz chicory-infused rye whiskey,2
 oz chicory-infused rye whiskey (optional),2
 oz chilled champagne,2
 oz chilled ginger beer,2
 oz chocolate liqueur,2
 oz cinnamon simple syrup,2
 oz citrus simple syrup,2
 oz citrus vodka,2
 oz clamato,2
 oz club soda,2
" oz club soda, chilled",2
" oz club soda, cold",2
 oz cocchi americano,2
" oz cocchi americano, chilled",2
 oz coconut milk,2
 oz coconut seltzer,2
 oz coconut water,2
" oz coconut water, chilled",2
 oz coffee,2
" oz coffee, hot",2
 oz cognac,2
 oz cointreau,2
 oz cola simple syrup,2
 oz cold water,2
" oz cool, filtered water",2
 oz cranberry juice,2
 oz cranberry simple syrup,2
 oz creme de cacao,2
 oz creme de cassis,2
 oz creme de menthe,2
 oz crushed ice,2
" oz cucumber juice, fresh",2
 oz curacao,2
 oz cynar,2
 oz dark rum,2
 oz demerara simple syrup,2
 oz drambuie,2
 oz drinking vinegar,2
 oz dry curacao,2
 oz dry gin,2
" oz dry lambrusco, chilled",2
 oz dry orange curacao,2
 oz dry prosecco,2
 oz dry sherry,2
 oz dry sparkling wine,2
" oz dry sparkling wine, chilled",2
 oz dry vermouth,2
" oz dry vermouth, chilled",2
 oz dry white wine,2
 oz dubonnet,2
 oz dubonnet rouge,2
 oz elderflower liqueur,2
 oz evaporated milk,2
 oz falernum,2
 oz fernet branca,2
 oz fino sherry,2
 oz frangelico,2
 oz fresh egg white,2
 oz fresh pomegranate juice,2
 oz freshly squeezed grapefruit juice,2
 oz freshly squeezed lemon juice,2
 oz freshly squeezed lime juice,2
 oz freshly squeezed orange juice,2
 oz galliano,2
 oz genever,2
 oz gin,2
" oz ginger ale, chilled",2
 oz ginger beer,2
" oz ginger beer, room temperature",2
 oz ginger juice,2
" oz ginger juice, fresh",2
 oz ginger liqueur,2
 oz ginger simple syrup,2
" oz ginger, peeled",2
 oz grade B maple syrup,2
 oz grade B maple syrup (optional),2
 oz gran classico,2
 oz grand marnier,2
 oz granny smith apple cider,2
 oz granulated sugar,2
 oz grape simple syrup,2
 oz grapefruit juice,2
" oz grapefruit juice, fresh squeezed",2
" oz grapefruit juice, freshly squeezed",2
" oz grapefruit juice, freshly squeezed (optional)",2
 oz grapefruit liqueur,2
 oz grapefruit radler,2
 oz grapefruit seltzer,2
 oz grapefruit simple syrup,2
 oz grapefruit soda,2
 oz green chartreuse,2
 oz grenadine,2
 oz half and half,2
 oz hard cider,2
" oz hard cider, chilled",2
 oz heavy cream,2
 oz high-proof bourbon,2
 oz honey,2
 oz honey liqueur,2
 oz honey simple syrup,2
 oz honey syrup,2
 oz horseradish simple syrup,2
" oz hot, freshly brewed black coffee",2
 oz ice cube,2
 oz irish whiskey,2
 oz jalapeno tequila,2
 oz Jameson whiskey,2
" oz kale juice, fresh",2
" oz key lime juice, freshly squeezed",2
" oz large lime juice, fresh",2
 oz lavender simple syrup,2
 oz lemon,2
 oz lemon juice,2
" oz lemon juice, fresh",2
" oz lemon juice, fresh squeezed",2
" oz lemon juice, fresh squeezed (optional)",2
" oz lemon juice, freshly squeezed",2
 oz lemon simple syrup,2
" oz lemon, fresh",2
" oz lemon, freshly squeezed",2
 oz light rum,2
 oz lillet blanc,2
 oz lillet blonde,2
 oz lillet rouge,2
 oz lime juice,2
" oz lime juice, fresh",2
" oz lime juice, fresh squeezed",2
" oz lime juice, freshly squeezed",2
" oz lime, fresh",2
 oz limoncello,2
 oz madeira wine,2
 oz mango schnapps,2
" oz mango, diced",2
 oz maple syrup,2
 oz maraschino liqueur,2
 oz medium grapefruit juice,2
 oz mezcal,2
 oz mild fernet,2
 oz mint simple syrup,2
 oz mint-flavored simple syrup,2
 oz molasses,2
 oz molasses simple syrup,2
 oz montenegro amaro,2
 oz old tom gin,2
 oz orange curacao,2
 oz orange ginger simple syrup,2
" oz orange juice, fresh",2
" oz orange juice, fresh squeezed",2
" oz orange juice, freshly squeezed",2
 oz orange marmalade,2
 oz orgeat,2
 oz passionfruit simple syrup,2
 oz peach liqueur,2
 oz pear brandy,2
 oz peated scotch,2
 oz pepper vodka,2
 oz pernod,2
 oz pimms,2
 oz pine liqueur,2
 oz pineapple,2
 oz pineapple juice,2
" oz pineapple juice, fresh",2
" oz pineapple juice, freshly squeezed",2
 oz pineapple simple syrup,2
" oz pineapple, diced",2
" oz pink grapefruit juice, fresh",2
" oz pink grapefruit juice, freshly squeezed",2
" oz pink grapefruit, fresh",2
 oz pisco,2
 oz pistachio liqueur,2
 oz pomegranate juice,2
" oz pomegranate juice, fresh",2
 oz pomegranate molasses,2
 oz port,2
 oz prepared coffee-flavored simple syrup,2
 oz prepared spiced apple simple syrup,2
 oz prepared spiced simple syrup,2
 oz prepared spiced simple syrup (optional),2
 oz prosecco,2
" oz prosecco, chilled",2
 oz punt e mes,2
 oz pureed concord grape,2
 oz raw sugar,2
" oz red grapefruit, fresh",2
 oz red wine,2
 oz reposado tequila,2
 oz rich simple syrup,2
 oz rooibos simple syrup,2
 oz rose champagne,2
 oz rose water,2
 oz rose water (optional),2
 oz rosemary simple syrup,2
 oz ruby port,2
 oz rum,2
 oz rye whiskey,2
 oz sage simple syrup,2
 oz saint germain,2
 oz scotch,2
 oz scotch (optional),2
 oz seltzer,2
" oz seltzer, chilled",2
 oz semisweet chocolate chip,2
 oz sherry,2
 oz simple syrup,2
" oz simple syrup, made with honey instead of sugar",2
" oz simple syrup, preferably made with turbinado sugar",2
 oz single-malt scotch,2
" oz smoked brewed black tea, such as lapsang souchong",2
 oz smoky scotch,2
 oz smoky scotch (optional),2
 oz sparkling wine,2
" oz sparkling wine, chilled",2
" oz sparkling wine, preferable moscato",2
 oz spiced rum,2
 oz strawberry simple syrup,2
" oz strawberry, sliced",2
 oz strong black coffee,2
 oz sugar,2
 oz suze,2
 oz suze (optional),2
" oz sweet sparkling wine, chilled",2
 oz sweet vermouth,2
 oz sweetened condensed milk,2
" oz tangerine juice, freshly squeezed",2
 oz tawny port,2
 oz tawny port (optional),2
 oz tequila,2
 oz tequila (optional),2
 oz the king's ginger,2
 oz tomato juice,2
 oz tonic water,2
 oz triple sec,2
 oz unfiltered apple cider,2
 oz unsalted butter,2
 oz unsweetened cranberry juice,2
 oz unsweetened pomegranate juice,2
 oz vanilla,2
 oz vanilla simple syrup,2
 oz vermouth,2
 oz vodka,2
 oz walnut liqueur,2
 oz water,2
" oz water, boiling",2
" oz water, hot",2
 oz whipped cream,2
 oz whiskey,2
 oz white balsamic vinegar,2
 oz white rum,2
 oz white vermouth,2
 oz whole milk,2
 oz yellow chartreuse,2
" peach, cubed",2
" persian cucumber, cut into a thin wheel",2
 peychauds bitters,2
 piece candied ginger,2
 piece orange,2
 pinch brown sugar,2
" pinch cardamom, ground",2
 pinch chile powder,2
 pinch chipotle chile powder,2
 pinch kosher salt,2
 pinch salt,2
 pinch smoked salt,2
 pinch tiny kosher salt,2
 pod green cardamom,2
" pod vanilla bean, scraped",2
" pomegranate seed, fresh",2
" pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",2
 pounds russet potatoes,2
 pounds russet potatoes (about  medium),2
" prosecco, chilled",2
 pt half and half,2
 pt heavy cream,2
" pt strawberry, diced",2
 pt whole milk,2
 pt whole milk (optional),2
 qt ice cube,2
 qt raw strawberry,2
 qt seltzer,2
 qt simple syrup,2
" qt strawberry, split",2
 qt water,2
" qt water, chilled",2
" raspberry, fresh",2
 red grape,2
 ripe peach,2
 rooibos tea bag,2
 salt,2
" seltzer, chilled",2
 slice apple juice,2
 slice cucumber,2
" slice cucumber, fresh",2
" slice cucumber, peeled",2
" slice dried pear, fresh",2
 slice green bell pepper,2
 slice green bell pepper (optional),2
 slice lemon,2
 slice lemon zest,2
 slice lime,2
 slice mango,2
 slice orange,2
 slice orange juice,2
 slice peach,2
 slice pineapple,2
 slice small orange,2
 slice strawberry,2
" small lime, zested",2
 smoked ham hock (about   pounds; g),2
 sour cherry,2
 sparkling apple cider,2
 splash cherry heering,2
 splash gin,2
 sprig cilantro,2
 sprig fresh mint,2
" sprig fresh mint, leaves only",2
 sprig marjoram,2
 sprig mint,2
" sprig mint, fresh",2
 sprig rosemary,2
" sprig rosemary, fresh",2
 sprig tarragon,2
 sprig thyme,2
" sprig thyme, fresh",2
 stalk lemongrass,2
" stalk lemongrass, sliced",2
 star crushed anise,2
 star whole anise,2
 stick celery,2
 stick cinnamon,2
 strawberry,2
" strawberry, halved",2
 strip lemon zest,2
 sugar cube,2
 sugar cube (optional),2
 superfine sugar,2
" tablespoon coarse salt, for glass rims",2
 tablespoon Diamond Crystal (g); for table salt use half as much by volume or the same weight,2
" tablespoon fresh thyme leaves, roughly chopped",2
 tablespoon freshly squeezed lemon juice,2
 tablespoon plus  teaspoon active dry yeast,2
 tablespoons ( grams) mascarpone or sour cream,2
 tablespoons ( grams) mascarpone or sour cream (optional),2
" tablespoons ( grams) mascarpone, sour cream, or applesauce",2
" tablespoons (g) plain or toasted sugar, divided",2
 tablespoons (g) unsalted butter,2
" tablespoons (g) unsalted butter, cut into roughly -inch cubes",2
" tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",2
 tablespoons chives,2
 tablespoons chopped fresh chives,2
 tablespoons high-quality unsalted butter,2
 tablespoons kosher salt,2
 tablespoons unsalted butter,2
" tablespoons unsalted butter, at room temperature",2
 Taste cane syrup,2
 Taste simple syrup,2
 tbsp acid phosphate,2
 tbsp apple cider vinegar,2
 tbsp brandy,2
" tbsp butter, room temperature",2
" tbsp butter, softened",2
 tbsp cane simple syrup,2
 tbsp celery salt,2
 tbsp chicory,2
 tbsp cocoa powder,2
 tbsp cranberry sorbet,2
 tbsp dark brown sugar,2
 tbsp demerara sugar,2
 tbsp dried ancho chile,2
" tbsp dry sparkling wine, chilled",2
 tbsp edible gold flake,2
 tbsp egg white,2
 tbsp extra virgin olive oil,2
" tbsp fresh mint, minced",2
" tbsp fresh mint, minced (optional)",2
" tbsp ginger, minced",2
 tbsp granulated sugar,2
 tbsp honey,2
" tbsp horseradish, grated",2
" tbsp jalapeno, diced",2
 tbsp kosher salt,2
 tbsp kosher salt (optional),2
" tbsp lemon juice, freshly squeezed",2
 tbsp lemon zest,2
" tbsp lemon zest, grated",2
 tbsp lemongrass,2
" tbsp lime juice, freshly squeezed",2
 tbsp lime zest,2
 tbsp malted milk powder,2
 tbsp maple syrup,2
 tbsp orange curacao,2
 tbsp orange zest,2
 tbsp orange zest (optional),2
 tbsp pumpkin butter,2
" tbsp rosemary, fresh",2
 tbsp rye whiskey,2
 tbsp simple syrup,2
 tbsp sparkling wine,2
 tbsp spiced simple syrup,2
 tbsp sugar,2
 tbsp superfine sugar,2
 tbsp sweet vermouth,2
 tbsp unsalted butter,2
 tbsp water,2
 tbsp watercress,2
" tbsp white onion, diced",2
 tbsp white rum,2
 tbsp whole allspice,2
 tbsp whole anise,2
 tbsp whole black peppercorn,2
 tbsp whole clove,2
 tbsp whole coriander seed,2
 tbsp whole cumin seed,2
 teaspoon (g) baking soda,2
 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,2
 teaspoon adobo sauce from the pepper can,2
 teaspoon baking soda,2
 teaspoon freshly ground black pepper,2
" teaspoon freshly ground white pepper, plus more to taste",2
 teaspoon garlic powder,2
 teaspoon ground cinnamon,2
 teaspoon ground cloves,2
 teaspoon kosher salt,2
 teaspoon onion powder,2
 teaspoons ground ginger,2
 teaspoons ground ginger (optional),2
 teaspoons kosher salt,2
" to   pounds (. to .kg) russet potatoes, peeled and sliced  inch thick on a mandoline slicer ( to  medium potatoes; see note)",2
" to  tablespoons powdered sugar, plus more to decorate",2
 to taste lemon juice,2
 tsp absinthe,2
 tsp agave,2
 tsp agave simple syrup,2
 tsp almond extract,2
 tsp angostura bitters,2
 tsp balsamic simple syrup,2
 tsp balsamic vinegar,2
 tsp benedictine,2
 tsp black peppercorn,2
" tsp black peppercorn, freshly ground",2
" tsp cardamom pod, lightly crushed",2
 tsp celery salt,2
 tsp cherry heering,2
 tsp cinchona bark,2
 tsp citric acid,2
 tsp cognac,2
 tsp cointreau,2
" tsp coriander seed, ground",2
 tsp creme de violette,2
" tsp creme de violette, optional",2
 tsp demerara simple syrup,2
 tsp dried lavender,2
 tsp fig jam,2
 tsp finely grated dark chocolate,2
 tsp freshly grated nutmeg,2
 tsp grand marnier,2
 tsp granulated sugar,2
 tsp grenadine,2
 tsp ground cinnamon,2
 tsp ground ginger,2
 tsp ground pink peppercorn,2
 tsp harissa paste,2
 tsp herbsaint,2
 tsp honey,2
" tsp horseradish sauce, freshly grated",2
 tsp hot sauce,2
 tsp kosher salt,2
 tsp lemon juice,2
" tsp lemon juice, freshly squeezed",2
 tsp maple syrup,2
 tsp maraschino liqueur,2
 tsp mustard seed,2
" tsp nutmeg, freshly grated",2
 tsp orange bitters,2
 tsp orange blossom water,2
 tsp orange marmalade,2
 tsp pernod,2
 tsp pimento bitters,2
" tsp pomegranate seed, ground",2
 tsp rose water,2
 tsp salt,2
 tsp sea salt,2
 tsp sherry vinegar,2
 tsp simple syrup,2
 tsp soy sauce,2
 tsp sugar,2
 tsp superfine sugar,2
 tsp triple sec,2
 tsp vanilla extract,2
 tsp water,2
" tsp water, warm",2
" tsp water, warm (optional)",2
 tsp whole allspice,2
 tsp whole anise,2
 tsp whole black peppercorn,2
 tsp whole clove,2
 tsp whole coriander seed,2
 tsp whole fennel seed,2
 tsp whole mace,2
 tsp worcestershire sauce,2
 twist grapefruit,2
 twist lemon,2
 twist lime,2
 twist orange,2
 twist orange zest,2
 vanilla bean,2
" vanilla bean (g), split and scraped or  teaspoon vanilla extract",2
 wedge cucumber,2
 wedge grapefruit,2
 wedge lemon,2
" wedge lemon, juiced",2
 wedge lime,2
 wedge orange,2
 wedge pineapple,2
 wedge tangerine,2
 wheel cucumber,2
 wheel lemon,2
 wheel lime,2
 wheel orange,2
" wheel orange, for garnish",2
 whole anise,2
" whole bone-in, skin-on pork shoulder,  to  pounds total",2
 whole cinnamon stick,2
 whole cinnamon stick (optional),2
 whole clove,2
".3 ounces (about 2 teaspoons) instant yeast, such as SAF Instant Yeast",2
.4 ounces kosher salt (about 4 teaspoons),2
⅔ cup barbecue sauce,2
⅓ cup chopped fresh cilantro,2
⅓ cup hot water for soaking cashews,2
"⅓ cup or less shredded/crumbled cheese (mozzarella, cheddar, goat, feta)",2
"⅓ cup reduced sodium tamari (or soy sauce, just be sure it’s reduced sodium or it will taste too salty)",2
⅓ cup shredded carrot (from 1 medium),2
¾ cup (1.5 ounces) finely grated ricotta salata and/or Parmesan cheese,2
¾ cup (150 g) sugar,2
¾ cup (2 ounces) coarsely grated Parmesan cheese,2
¾ cup plus 1 Tbsp. (or more) milk,2
"¾ pound uncooked medium shrimp, peeled and deveined",2
"¾ teaspoon fine sea salt, divided",2
"¾ teaspoon fine sea salt, to taste",2
¾ teaspoon ground cumin,2
"¾ teaspoon salt, divided, to taste",2
¾ teaspoon fine sea salt,2
¾-1 cup of plain vegetable oil,2
"¼ cup (⅔-ounce) chives or green onions (mostly green parts), cut into ¼-long pieces",2
¼ cup (40 g) shiro or sweet white miso,2
¼ cup + 1 teaspoon extra-virgin olive oil,2
¼ cup chopped cilantro,2
¼ cup cilantro sprigs,2
¼ cup crème fraîche or sour cream or Greek yogurt**,2
"¼ cup cream cheese, softened",2
¼ cup extra-virgin olive oil,2
¼ cup finely chopped Italian parsley,2
¼ cup grated Parmesan cheese,2
¼ cup minced fresh basil,2
¼ cup raw sesame seeds,2
"¼ cup sauce (marinara, pesto, olive oil and garlic, barbecue sauce)",2
¼ cup sliced scallions (about 2 scallions),2
¼ cup slivered almonds,2
¼ cup toasted sesame oil,2
¼ cup vegan mayonnaise,2
¼ teaspoon black pepper,2
"¼ teaspoon crushed red pepper flakes, or more to taste",2
"¼ teaspoon fine salt, more to taste",2
"¼ teaspoon red pepper flakes, omit if sensitive to spice",2
"¼ teaspoon red pepper flakes, reduce or omit if sensitive to spice",2
"¼ to 1 teaspoon sugar – optional, add as required depending on the sourness of the tomatoes",2
¼ tsp. fine sea salt (optional),2
"½  Lemon, Juice And Zest (optional)",2
½ (14 ounce) can coconut milk,2
"½ cucumber , sliced",2
"½ cup (1 stick) chilled unsalted butter or vegan butter (preferably Miyoko’s), cut into small pieces, plus 2 Tbsp. melted for brushing",2
"½ cup (2 ounces) grated Parmesan, plus extra for garnish",2
½ cup chopped cilantro,2
½ cup chopped cilantro (optional),2
"½ cup chopped fresh basil, plus a handful more small basil leaves or torn leaves for garnish",2
"½ cup chopped fresh cilantro, plus more for garnish",2
½ cup chopped fresh parsley,2
½ cup chopped fresh parsley (optional),2
½ cup chopped onion,2
½ cup chopped red onion (about ½ small red onion),2
½ cup corn flour,2
½ cup dried parsley,2
"½ cup fresh red or orange bell pepper, cut into narrow 2″ strips",2
½ cup halved cherry tomatoes,2
"½ cup jarred or canned artichoke, cut into 1” pieces",2
½ cup long-grain brown rice (or 1 ½ cups cooked rice),2
"½ cup or more ricotta cheese, for garnish",2
½ cup packed light brown sugar,2
"½ cup pitted Kalamata olives, halved lengthwise",2
"½ cup quinoa, rinsed in a fine-mesh colander",2
"½ cup red onion, cut into thin wedges",2
"½ cup red onion, cut into thin wedges (optional)",2
½ cup salted butter,2
½ cup salted butter (optional),2
½ cup sliced almonds (optional),2
