string,pred_old,preds
"1 3/4 oz blood orange juice, fresh",blood orange juice,blood orange juice
1 3/4 oz caperitif,caperitif,cynar
"1 3/4 oz celery juice, fresh",celery juice,celery salt
1 3/4 oz cherry heering,cherry heering,cherry
1 3/4 oz cognac,cognac,cognac
1 3/4 oz cointreau,cointreau,cointreau
1 3/4 oz dark rum,dark rum,dark rum
1 3/4 oz demerara simple syrup,simple simple syrup,demerara simple syrup
1 3/4 oz dry gin,dry,dry gin
1 3/4 oz fino sherry,fino sherry,fino sherry
1 3/4 oz freshly squeezed lemon juice,lemon juice,lemon juice
1 3/4 oz freshly squeezed lime juice,lime juice,lime juice
1 3/4 oz genever,genever,genever
1 3/4 oz gin,gin,gin
"1 3/4 oz ginger juice, fresh",ginger juice,ginger beer
1 3/4 oz ginger liqueur,ginger liqueur,ginger liqueur
1 3/4 oz grade B maple syrup,maple syrup,maple syrup
1 3/4 oz grand marnier,grand marnier,grand marnier
1 3/4 oz granny smith apple cider,thai bird apple,granny smith apple
"1 3/4 oz grapefruit juice, freshly squeezed",grapefruit juice,grapefruit juice
1 3/4 oz grapefruit liqueur,grapefruit liqueur,grapefruit liqueur
1 3/4 oz honey simple syrup,honey simple syrup,ginger simple syrup
1 3/4 oz ice cube,ice cube,ice cube
"1 3/4 oz lemon juice, fresh",lemon juice,lemon juice
"1 3/4 oz lemon juice, freshly squeezed",lemon juice,lemon juice
"1 3/4 oz lemon juice, freshly squeezed (optional)",lemon juice,lemon juice
1 3/4 oz lime juice,lime juice,lime juice
"1 3/4 oz lime juice, fresh",lime juice,lime juice
"1 3/4 oz lime juice, freshly squeezed",lime juice,lime juice
1 3/4 oz maraschino liqueur,maraschino liqueur,maraschino liqueur
1 3/4 oz molasses,molasses,molasses
"1 3/4 oz orange juice, freshly squeezed",orange juice,orange juice
1 3/4 oz passionfruit simple syrup,orange simple syrup,passionfruit simple
1 3/4 oz prepared coffee-flavored simple syrup,brewed simple simple,spiced flavored simple
1 3/4 oz prepared spiced simple syrup,creme simple syrup,spiced spiced rum
1 3/4 oz prosecco,prosecco,prosecco
1 3/4 oz pureed concord grape,concord grape,concord grape tomato
1 3/4 oz pureed concord grape (optional),concord grape,concord grape tomato
1 3/4 oz ruby port,ruby port,ruby port
1 3/4 oz seltzer,seltzer,seltzer
1 3/4 oz spiced rum,spiced rum,spiced rum
1 3/4 oz tonic water,tonic water,tonic water
1 3/4 oz unsweetened pomegranate juice,pomegranate juice,unsweetened pomegranate juice
1 3/4 oz vanilla simple syrup,vanilla simple syrup,vanilla simple syrup
1 3/4 oz vermouth,vermouth,vermouth
1 3/4 oz vodka,vodka,vodka
"1 3/4 oz water, hot",water,seltzer
1 3/4 oz whiskey,whiskey,whiskey
1 3/4 pt whole milk,whole milk,whole milk
"1 3/4 qt strawberry, split",strawberry,seltzer
1 3/4 rooibos tea bag,rooibos tea bag,rooibos tea bag
1 3/4 slice cucumber,cucumber,cucumber
1 3/4 slice lemon zest,lemon zest,lemon zest
1 3/4 slice small orange,orange,orange orange
"1 3/4 sprig fresh mint, leaves only",mint,fresh pasta
"1 3/4 sprig mint, fresh",mint,seltzer
1 3/4 sprig rosemary,rosemary,rosemary
1 3/4 sprig thyme,thyme,thyme
1 3/4 stick cinnamon,cinnamon,cinnamon
"1 3/4 tbsp butter, room temperature",butter,seltzer
"1 3/4 tbsp butter, softened",butter,catfish
"1 3/4 tbsp butter, softened (optional)",butter,catfish
1 3/4 tbsp chicory,chicory,chicory
1 3/4 tbsp dark brown sugar,dark brown sugar,dark brown sugar
1 3/4 tbsp whole anise,anise,anise anise
1 3/4 tsp absinthe,absinthe,absinthe
1 3/4 tsp ground cinnamon,ground cinnamon,ground cinnamon
"1 3/4 tsp nutmeg, freshly grated",nutmeg,nutmeg
"1 3/4 tsp nutmeg, freshly grated (optional)",nutmeg,nutmeg
1 3/4 tsp worcestershire sauce,worcestershire sauce,worcestershire sauce
1 3/4 twist orange,grapefruit twist,orange
1 3/4 wedge lime,lime,lime
1 3/4 wedge pineapple,pineapple,pineapple
1 3/4 wheel lime,lime,lime
1 3/4 wheel orange,orange,orange
"1 3/4 whole bone-in, skin-on pork shoulder,  to  pounds total",ground,whole whole
1 3/4 whole cinnamon stick,plum sticks,cinnamon stick
1 4 lb. whole chicken,chicken,whole chicken
1 4-lb. whole chicken or 4 chicken legs (thigh and drumstick; about 3 lb.),chicken thighs,whole chicken legs
"1 4"" piece daikon (Japanese radish), peeled, sliced ⅛"" thick",daikon,garlic almond
1 8-ounce bottle clam juice,clam juice,clam juice
1 absinthe,absinthe,absinthe
"1 ancho chile crushed, stemmed, and seeded",ancho chile,ancho chile powder
1 angostura bitters,angostura bitters,angostura bitters
"1 baguette, cut in half then halved lengthwise",oregano,seltzer
"1 baguette, sliced and toasted",baguette,seltzer
1 barspoon brown sugar,brown sugar,brown sugar
1 barspoon maraschino liqueur,maraschino liqueur,maraschino liqueur
1 batch Cilantro Hemp Pesto (double if you love sauce),cilantro,cilantro
1 batch Cilantro Lime Brown Rice,lentils peppers,diced brown rice
1 batch easy whole wheat pizza dough or 1 pound store-bought pizza dough,whole simple,whole or milk cartridge
1 batch ginger-cardamom simple syrup,simple simple syrup,ginger ginger simple simple
1 batch Quick-Pickled Onions,grated,dried onions
"1 batch Super Simple Marinara Sauce, or 2 cups (16 ounces) store-bought marinara",simple simple,<OOV> simple
1 bay leaf,bay leaf,bay leaf
"1 bergamot , zested and juiced (available from ocado.com)",bergamot,amer chile
1 black or green cardamom pod,hard wine,black cardamom cardamom
"1 black peppercorn, cracked",black peppercorn,black cardamom
1 blade mace,mace,mace
1 bottle bourbon,bourbon,bourbon
"1 bottle cava, chilled",cava,seltzer
1 bottle cheap red wine,red wine,cheap red wine
"1 bottle cognac, 750 ml",cognac,champagne
1 bottle dry red wine,red wine,red red wine
"1 bottle dry rose, cold",rose,dry rose
"1 bottle dry sparkling wine, chilled",sparkling wine,sparkling sparkling
1 bottle dry white wine,white wine,dried white wine
1 bottle duvel beer,duvel beer,duvel beer
"1 bottle of chilled, sparkling wine (Cava is a good choice)",sparkling wine,sparkling wine
1 bottle prosecco,prosecco,prosecco
1 bottle scotch,scotch,scotch
1 bottle seltzer,seltzer,seltzer
1 bottle vodka,vodka,vodka
1 brandied cherry,cherry,cherry cherry
1 brut sparkling wine,sparkling wine,sparkling wine
"1 bunch (about 3 ounces) flat spinach leaves, trimmed, rinsed, and roughly chopped",atlantic croaker,pork pork juice
1 bunch finely minced chives,chives,freshly chives chives
"1 bunch fresh cilantro, chopped",cilantro,fresh
"1 bunch green onions, chopped",green onions,green cardamom
"1 bunch green onions, diced",green onions,green cardamom
1 bundle scallions,escolar,scallions
"1 bundle scallions, to be used here and to finish",cloves,lumpfish
"1 can (1 ½ cups) pinto beans, rinsed and drained",pinto beans,pinto beans
"1 can (15 ounces) black beans, rinsed and drained (or 1 ½ cups cooked black beans)",black beans,black cardamom
1 can (15 ounces) crushed tomatoes*,tomatoes,canned tomatoes tomatoes
1 can grapefruit soda,grapefruit soda,grapefruit soda
1 can maraschino cherry,maraschino cherry,maraschino cherry
1 candied ginger,candied ginger,candied ginger
"1 center-cut beef tenderloin, timmed of silverskin and fat, about 2 pounds (see note)",beef cinnamon,beef beef
1 chamomile tea bag,chamomile tea bag,chamomile tea bag
1 cherry,cherry,cherry
"1 chipotle chile pepper in adobo sauce, chopped",chipotle chile pepper in,chipotle chipotle chile in adobo
1 cinnamon stick,cinnamon stick,cinnamon stick
1 cinnamon stick or pinch ground cinnamon,cinnamon stick,ground ground cinnamon
"1 cinnamon stick, broken into three or four pieces",cinnamon stick,cinnamon sticks
1 clove cinnamon stick,cinnamon stick,cinnamon stick
1 clove medium garlic,garlic,garlic
1 club soda,club soda,club soda
"1 club soda, chilled",club soda,club soda
1 cocktail cherry,almond tomato,cherry
"1 courgette , coarsely grated",strawberries,lemon
"1 crown broccoli, cut into bite-sized pieces",broccoli,lumpfish
1 crumb-crust recipe made with finely ground graham crackers,gelatin,coarse grated graham crackers
1 crushed ice,crushed ice,crushed ice
1 cup (100 grams) fresh cranberries,cranberries,cranberries cranberries
"1 cup (2 sticks) salted butter, room temperature",avocado,dried milk
1 cup (200 grams) plus 1/3 cup (65 grams) granulated sugar,granulated sugar,granulated sugar
1 cup (235 grams) water,plum,water
1 cup (235g) water or milk (see note),sherry,milk milk milk
1 cup (240ml) homemade or store-bought low sodium chicken stock (see note),ground cinnamon,low chicken chicken stock
1 cup (240ml) water,pumpkins,water
1 cup (240ml) white wine (optional; can be replaced with additional broth),white wine,white wine
"1 cup (270 g) sourdough starter discard from a starter fed within the previous 24 hours, room temperature",sourdough bread,sourdough bread
"1 cup (about 4 ounces) cavatelli, ditalini, elbow or small shell pasta of choice",dried cherries,ajwain roe
1 cup (packed) cilantro leaves with tender stems,cilantro,thai
1 cup all-purpose flour (4 1/2 ounces; 130g),almond juice,all purpose flour
1 cup almond,almond,almond
1 cup apple cider,apple cider,apple cider
1 cup apple cider vinegar,apple cider vinegar,apple cider vinegar
1 cup apple juice,apple juice,apple juice
1 cup blanched almond,blanched almond,blanched almond
1 cup boiling water,strawberries,water
1 cup bourbon,bourbon,bourbon
1 cup brandy,brandy,brandy
"1 cup brown or green lentils, washed and picked over",short chinese,green green
1 cup brown sugar,brown sugar,brown sugar
"1 cup butter, softened",butter,water
1 cup buttermilk,buttermilk,buttermilk
"1 cup buttermilk, at room temperature",buttermilk,seltzer
1 cup campari,campari,campari
1 cup charred lemon juice,lemon juice,lemon juice
1 cup cheddar cheese for topping,cheddar,flaky cream
1 cup cheddar cheese shredded,cheddar,coarse cream cream
"1 cup cherry, pitted",cherry,seltzer
1 cup chicken broth,chicken broth,chicken broth
1 cup coarsely chopped fresh basil,port,basil cut
1 cup coconut milk,coconut milk,coconut milk
1 cup cognac,cognac,cognac
1 cup corn syrup,corn syrup,corn syrup
1 cup cranberry sauce,cranberry sauce,cranberry sauce
"1 cup cranberry, fresh",cranberry,ginger
1 cup crumbled queso fresco or feta,cola,crushed cocchi
1 cup crushed ice,crushed ice,crushed ice
1 cup crushed ice cube,ice cube,crushed ice cube
1 cup dark rum,dark rum,dark rum
1 cup demerara sugar,demerara sugar,demerara sugar
1 cup diced onion,lime,onion onion
"1 cup dry lentils, rinsed",lentils,dry vermouth
1 cup dry white wine,white wine,sparkling white wine
"1 cup fresh basil leaves, thinly sliced",basil,fresh basil
1 cup fresh cilantro leaves (1 ounce; 28g),cilantro,fresh
1 cup fresh lime juice,lime juice,lime lime juice
1 cup fresh mint,mint,fresh
"1 cup fresh pineapple, cut into chunks",pineapple,fresh pasta
"1 cup fresh strawberry, sliced",strawberry,fresh
1 cup freshly picked cilantro leaves and small stems,cilantro,freshly minced turkey
1 cup frozen orange juice concentrate,ginger juice,orange orange juice
"1 cup ginger, peeled and roughly chopped",ginger,peach
1 cup granulated sugar,granulated sugar,granulated sugar
"1 cup grapefruit juice, freshly squeezed",grapefruit juice,grapefruit juice
1 cup heavy cream,heavy cream,heavy cream
"1 cup heavy cream, well chilled",heavy cream,heavy cream
1 cup hot water,water,hot
1 cup ice cube,ice cube,ice cube
1 cup jaggery sugar (see note),turbinado potato,brown sugar
1 cup Japanese shoyu (soy sauce),summer salt,shoyu
1 cup jasmine rice,jasmine rice,jasmine rice
1 cup lemon juice,lemon juice,lemon juice
"1 cup lemon juice, fresh",lemon juice,lemon juice
"1 cup lemon juice, freshly squeezed",lemon juice,lemon juice
1 cup lillet rose,lillet rose,lillet rose
1 cup mayonnaise,mayonnaise,mayonnaise
1 cup mezcal,mezcal,mezcal
1 cup milk,milk,milk
1 cup mint,mint,mint
1 cup mirin,mirin,mirin
1 cup ﬁnely chopped Mexican chocolate,plum chocolate,mexican mexican chocolate
1 cup of vegetable oil,vegetable oil,vegetable vegetable
1 cup or more of water (will likely only need if beans weren’t pre-soaked),dates,half and half
"1 cup orange juice, fresh",orange juice,orange juice
"1 cup peach, frozen",peach,peach
"1 cup pink grapefruit, fresh",pink grapefruit,pink grapefruit
1 cup pizza sauce or marinara,pizza sauce,chili sauce
"1 cup pizza sauce or one 32-ounce can whole tomatoes, drained and crushed by hand",condensed salmon,sweet adobo sauce
"1 cup plus 1 tablespoon (250ml) canola or vegetable oil, divided",tangerine,vegetable vegetable oil
1 cup plus 2 tablespoons (9 oz / 255 g) lukewarm water (about 95°F or 35°C),mezcal,water water
1 cup raspberry,raspberry,raspberry
1 cup red lentils,red lentils,red lentils
1 cup rice,rice,rice
1 cup rum,rum,rum
1 cup sake,sake,sake
1 cup sake (about 8 ounces; 225g),sake,sake
1 cup semolina flour,semolina flour,semolina flour
1 cup short grain rice,red bell apple,long grain
1 cup simple syrup,simple syrup,simple syrup
1 cup sliced mushrooms,fino almonds,sliced mushrooms
1 cup sour cream,sour cream,sour cream
1 cup soy sauce,soy sauce,soy sauce
1 cup sparkling wine,sparkling wine,sparkling wine
1 cup sugar,sugar,sugar
1 cup tahini,tahini,tahini
"1 cup tangerine juice, fresh squeezed",tangerine juice,tangerine juice
1 cup tequila,tequila,tequila
"1 cup uncooked brown basmati rice, for serving (rice is optional, I like to cook extra to have on hand for other meals)",red brown rice,basmati basmati rice rice
"1 cup walnuts, toasted and coarsely chopped",walnuts,seltzer
1 cup water,water,water
1 cup water (about 8 ounces; 225g),water,water
1 cup water or 250 ml water,water,water
"1 cup water, boiling",water,seltzer
"1 cup water, heated to 110 degrees (very warm, almost too hot for comfort)",water,seltzer
1 cup white sugar,white sugar,brown sugar
"1 cup whole milk, warmed to about 100° F by microwaving for 60 seconds",whole milk,whole milk
1 cup yellow chartreuse,yellow chartreuse,yellow chartreuse
1 cup water,tobiko,cynar
1 dash absinthe,absinthe,absinthe
1 dash angostura bitters,angostura bitters,angostura bitters
1 dash bitters,bitters,bitters
1 dash brandy,brandy,brandy
1 dash cayenne pepper,cayenne pepper,cayenne pepper
1 dash celery bitters,celery bitters,celery bitters
1 dash cointreau,cointreau,cointreau
1 dash cointreau (optional),cointreau,cointreau
1 dash fino sherry,fino sherry,fino sherry
1 dash grand marnier,grand marnier,grand marnier
1 dash grand marnier (optional),grand marnier,grand marnier
1 dash green chartreuse,green chartreuse,green chartreuse
1 dash grenadine,grenadine,grenadine
1 dash lemon bitters,lemon bitters,lemon bitters
1 dash lemon juice,lemon juice,lemon juice
"1 dash lemon juice, fresh",lemon juice,lemon juice
1 dash orange,orange,orange
1 dash orange bitters,orange bitters,orange bitters
1 dash peychauds bitters,peychauds bitters,peychauds bitters
1 dash pomegranate,pomegranate,pomegranate
1 dash pomegranate bitters,pomegranate bitters,pomegranate bitters
1 dash rose water,rose water,rose water
1 dash simple syrup,simple syrup,simple syrup
1 dash vanilla extract,vanilla extract,vanilla extract
"1 deep dish pie shell 9"", frozen or homemade",oyster grapefruit,<OOV>
"1 dozen scallions, white parts only (reserve greens and light green parts for garnishing finished soup)",escolar,seltzer
1 egg,egg,egg
1 egg white,egg white,egg white
"1 egg white, fresh",egg white,egg yolk
"1 egg, beaten",egg,lemon
"1 entire Grade A or Grade B fresh foie gras, about 500 to 750 grams",mushroom,fresh foie foie
1 envelope (2 ¼ teaspoons) rapid-rise or instant yeast,canned wine,instant yeast yeast
1 envelope instant dry yeast,dry wine yeast,ripe dry yeast
"1 four-inch-square piece kombu (sea kelp, see note)",chicken potato,kombu kombu
1 fresh pear,pear,fresh pear
"1 full rack St. Louis-style spareribs, cut into individual ribs (about 3 pounds total)",buckwheat lemon,rack mozzarella
1 Galia melon,kahlua,melon
1 ginger ale,ginger ale,ginger ale
1 grapefruit twist,grapefruit twist,grapefruit twist
"1 green apple , cored and finely sliced",green chartreuse,extra green beans
1 green olive,green olive,green olive
1 head cauliflower,cauliflower,cauliflower
"1 head iceberg lettuce, shredded",persimmon,lumpfish roe
1 head of garlic,garlic,garlic and
1 head of garlic (optional),garlic,garlic and
"1 head of roasted peeled garlic (I use the toaster oven.  Separate the cloves first but don’t peel, then roast until soft and the cloves pop right out of the skin)",the kings,garlic garlic salt
1 ice cube,ice cube,ice cube
"1 ice cube, cracked",ice cube,ice cube
"1 in ginger, peeled",ginger,potatoes
"1 in medium pineapple, peeled, cored, and cubed",pineapple,pineapple
1 in orange,orange,orange
1 in orange zest,orange zest,orange zest
1 in orange zest (optional),orange zest,orange zest
1 inch ginger,ginger,ginger
"1 inch ginger – julienned, reserve a few for garnish",ginger,granny seed
"1 inch peeled fresh ginger, thinly sliced",ground,fresh pasta
1 inch-chunk ginger,ground,ginger beer
"1 jalapeño pepper, seeded and stemmed, finely chopped",coffee beans,lumpfish bitter
"1 jalapeno pepper, seeded and finely chopped  (optional)",green beans,jalapeno shake
"1 jalapeno, sliced",jalapeno,pears
"1 jalapeno, with seeds",jalapeno,eggs
"1 large bunch (8 ounces) kale*, preferably Tuscan/lacinato but any variety works",kale,large carrot
"1 large bunch cilantro, washed and roughly chopped (about 1 1/2 cups)",cilantro,large
"1 large can (28 ounces) fire-roasted crushed tomatoes or whole peeled tomatoes, with their juices",plum,large cut whole
"1 large cucumber , peeled and chopped into small chunks",cucumber,large cucumber
1 large egg,egg,large egg
1 large egg plus 1 yolk,egg,large egg yolk
1 large egg white,egg white,large white white
1 large egg yolk,egg yolk,large yolk yolk
"1 large egg, lightly beaten with a fork",chocolate,large
"1 large green chile pepper, seeded and diced",green de pepper,large chile pepper
"1 large hand ginger (about 6 inches long), split in half lengthwise",ginger,large
"1 large head of radicchio, leaves  separated, torn if large",chicory,large
1 large ice cube,ice cube,ice cube cube
1 large lime,lime,large lime
1 large mint,mint,large mint
"1 large onion, chopped",onion,large
"1 large onion, finely chopped (about 1 1/2 cups)",onion,large
"1 large onion, skin on, roughly chopped",onion,large
"1 large onion, sliced into 1/4-inch slices (about 1 1/2 cups)",onion,large
"1 large onion, thinly sliced",onion,large
1 large orange twist,orange twist,orange twist
"1 large orange, or 2 small ones, juiced",orange,large
"1 large peach, thinly sliced",peach,large
1 large pita bread,pita bread,pita pita bread
"1 large poblano chile, seeded and roughly chopped (about 1 cup)",poblano pepper,poblano poblano
"1 large red bell pepper, cored, seeded, and roughly chopped (about 1 1/2 cups)",red bell pepper,large bell bell pepper
"1 large red onion, chopped",red onion,red red
"1 large section lotus root, about 5 to 7 ounces",tangerine,large
"1 large shallot, chopped",shallot,large
"1 large sheet nori, cut into thin strips",nori,large
"1 large tomatillo, quartered",tomatillo,large
"1 large tomato, cut into wedges",tomato,large
"1 large tomato, quartered",tomato,large
"1 large yellow onion, chopped",yellow onion,large onion
"1 large yellow onion, diced fine (about 1 1/2 cups)",yellow onion,large onion
"1 large yellow onion, finely chopped",yellow onion,large yellow onion
"1 large yellow onion, finely diced",yellow onion,large yellow onion
"1 large yellow onion, thinly sliced",yellow onion,large onion onion
"1 lb cucumber, peeled",cucumber,coffee
"1 lb ginger, fresh",ginger,rose
1 lb ice cube,ice cube,ice cube
"1 lb strawberry, trimmed",strawberry,onion
1 lb. (455 g) challah or brioche,tobiko,aperol
1 leaf basil,basil,basil
1 leaf lime,lime,lime
"1 leaf mint, fresh",mint,parsley
"1 leek, white and light green parts only, cleaned and sliced into thin rings",leek,seltzer
1 lemon,lemon,lemon
"1 lemon , juiced",lemon,lemon
"1 lemon , sliced",lemon,lemon
1 lemon twist,lemon twist,lemon twist
"1 lemon twist, optional",lemon twist,lemon juice
"1 lemon zest, freshly grated",lemon zest,lemon juice
"1 lemon, cut into rounds",lemon,lemon
"1 lemon, thinly sliced",lemon,lemon
"1 lemon, zested and juiced",lemon,water
1 length rhubarb,kielbasa,rhubarb
1 light beer,light beer,light beer
1 lime,lime,lime
"1 lime wedge, plus 2 lime wheels for garnish",lime,lime juice
1 lime zest,lime zest,lime zest
1 loaf  French bread,fuji zest,greek cheese
1 loaf French Bread cut into 1-inch slices,fuji zest,pullman virgin flour
1 maraschino cherry,maraschino cherry,maraschino cherry
"1 maraschino cherry, optional",maraschino cherry,maraschino cherry
"1 medium (8-ounce; 225g) yellow onion, peeled, quartered, and root end trimmed",atlantic shad,yellow onion
"1 medium beet, grated",beet,medium
1 medium butternut squash (4 cups chopped*),butternut squash,medium squash squash
"1 medium carrot, peeled and minced",carrot,lemon
1 medium clove garlic,garlic,garlic
"1 medium clove garlic, minced (about 1 teaspoon)",garlic,garlic
"1 medium cucumber, sliced into 1/4"" rounds",cucumber,lemon
"1 medium grapefruit, zested",grapefruit,lemon
"1 medium jalapeno pepper, diced, or more to taste",green,medium pepper
"1 medium lemon, zested",lemon,lemon
"1 medium lime, juiced",lime,lemon
"1 medium onion, chopped finely",onion,lemon
"1 medium onion, finely chopped",onion,lemon
"1 medium onion, finely chopped (about 1 cup)",onion,lemon
"1 medium onion, finely diced",onion,lemon
"1 medium onion, grated on the large holes of a box grater",onion,pineapple
"1 medium onion, thinly sliced  (about 1 cup)",onion,medium
1 medium orange,orange,orange
"1 medium pineapple, cut into 1"" cubes",pineapple,lemon
"1 medium serrano or jalapeño pepper*, minced (remove ribs and seeds to tame the spice level)",apple,medium serrano
"1 medium white or yellow onion,  finely chopped",atlantic lentils,medium yellow onion
"1 medium yellow onion, chopped",yellow onion,yellow onion
"1 medium yellow onion, chopped (optional)",yellow onion,yellow onion
"1 medium yellow onion, finely chopped (about 1 cup), divided",yellow onion,medium yellow onion
"1 medium yellow onion, peeled and split in half",yellow onion,yellow onion
"1 medium-to-large yellow onion, chopped",yellow onion,large yellow onion
"1 medium-to-large yellow onion, finely chopped",yellow onion,large yellow onion
1 mint,mint,mint
1 ml blanco tequila,blanco tequila,blanco tequila
"1 ml sparkling wine, chilled",sparkling wine,sparkling champagne
1 nutmeg,aperol,nutmeg
"1 nutmeg, freshly grated",aperol,lemon
1 olive,olive,olive
"1 onion, roughly chopped",onion,lemon
"1 onion, thinly sliced",onion,lemon
"1 or 2 green chili – slit, reserve a few for garnish",sunflower cucumber,chili chili pepper
1 orange,orange,orange
"1 orange , juiced",orange,rose
1 orange twist,orange twist,orange twist
"1 orange twist, optional",orange twist,orange curacao
"1 orange, quartered",orange,lemon
"1 orange, zested",orange,cynar
1 ounce (3 tablespoons; 30g) cornstarch,peaches,cornstarch
1 ounce chopped unsweetened chocolate,unsweetened chocolate,unsweetened chocolate chocolate
"1 ounce unsalted butter (2 tablespoons; 30g), cut into 1/2-inch cubes",unsalted butter,unsalted butter butter
1 oz amaro,amaro,amaro nonino
1 oz amaro sfumato,amaro sfumato,amaro sfumato
1 oz angostura bitters,angostura bitters,angostura bitters
1 oz aperol,aperol,aperol
1 oz apple brandy,apple brandy,apple brandy
"1 oz apple cider, chilled",apple cider,apple cider
"1 oz apple cider, fresh",apple cider,apple cider
1 oz apple simple syrup,apple simple syrup,apple simple syrup
1 oz applejack,applejack,applejack
1 oz apricot,apricot,apricot
1 oz aquavit,aquavit,aquavit
1 oz averna,averna,cynar
1 oz barolo chinato,barolo chinato,barolo chinato
1 oz basil simple syrup,simple simple syrup,basil simple
1 oz beet juice,beet juice,beet juice
1 oz benedictine,benedictine,benedictine
1 oz bourbon,bourbon,bourbon
1 oz brandy,brandy,brandy
1 oz brut sparkling wine,sparkling wine,sparkling sparkling wine
1 oz calvados,calvados,calvados
1 oz campari,campari,campari
1 oz caperitif,caperitif,cynar
1 oz cardamom pod,cardamom,cardamom pod
1 oz carrot juice,carrot juice,carrot juice
1 oz chicory-infused rye whiskey,semolina flour,rye infused rye whiskey
1 oz clamato,clamato,clamato
1 oz club soda,club soda,club soda
"1 oz club soda, chilled",club soda,club soda
"1 oz club soda, cold",club soda,club soda
1 oz cocchi americano,cocchi americano,cocchi americano
1 oz cognac,cognac,cognac
1 oz cointreau,cointreau,cointreau
1 oz cranberry simple syrup,simple simple syrup,cranberry simple
1 oz creme de cacao,creme de cacao,creme de cacao
1 oz cynar,cynar,cynar
1 oz dark rum,dark rum,dark rum
1 oz drinking vinegar,english parsley,cheap vinegar
1 oz dry gin,dry,dry gin
1 oz dry sparkling wine,sparkling wine,sparkling sparkling wine
1 oz dry vermouth,dry vermouth,dry vermouth
1 oz dubonnet rouge,dubonnet rouge,dubonnet rouge
1 oz elderflower liqueur,elderflower liqueur,elderflower liqueur
1 oz falernum,falernum,cynar
1 oz freshly squeezed lemon juice,lemon juice,lemon juice
1 oz freshly squeezed lime juice,lime juice,lime juice
1 oz freshly squeezed orange juice,orange juice,orange juice
1 oz gin,gin,gin
"1 oz ginger ale, chilled",ginger ale,ginger juice
1 oz ginger beer,ginger beer,ginger beer
"1 oz ginger beer, room temperature",ginger beer,ginger juice
1 oz ginger liqueur,ginger liqueur,ginger liqueur
"1 oz ginger, peeled",ginger,seltzer
"1 oz ginger, peeled (optional)",ginger,seltzer
1 oz gran classico,gran classico,gran classico
1 oz grand marnier,grand marnier,grand marnier
"1 oz grapefruit juice, fresh squeezed",grapefruit juice,grapefruit juice
"1 oz grapefruit juice, freshly squeezed",grapefruit juice,grapefruit juice
1 oz heavy cream,heavy cream,heavy cream
1 oz honey,honey,honey
